Group,Category,Function
Common,Other,_Unwind_GetTextRelBase
Common,Other,_nl_archive_subfreeres
Common,Other,__ctype_tolower_loc
Common,Other,__new_getrlimit
Common,Other,free_slotinfo
Common,Other,strncmp
Common,Other,__strerror_r
Common,Other,__internal_atexit
Common,Other,_nl_unload_locale
Common,Other,__atomic_wide_counter_load_relaxed
Common,Other,strcmp
Common,Other,flush_cleanup
Common,Other,abort
Common,Other,__unorddf2
Common,Other,sigaddset
Common,Other,__mmap
Common,Other,___printf_fp
Common,Other,__wmemchr
Common,Other,alloc_perturb
Common,Other,__listen
Common,Other,clock
Common,Other,__printf_buffer_to_file_done
Common,Other,__isoc23_strtoul
Common,Other,toggle_obf
Common,Other,__fstatat64
Common,Other,__get_child_max
Common,Other,__translated_number_width
Common,Other,munmap_chunk
Common,Other,read_sleb128
Common,Other,_int_free_merge_chunk
Common,Other,__fopen_internal
Common,Other,rand_init
Common,Other,__twalk
Common,Other,read_alias_file
Common,Other,get_nproc_stat
Common,Other,length_mismatch
Common,Other,add_to_global_resize
Common,Other,do_swap
Common,Other,do_tunable_update_val
Common,Other,maybe_split_for_insert
Common,Other,read_sysfs_file
Common,Other,table_lock_val
Common,Other,__wprintf_buffer_done
Common,Other,__printf_buffer_as_file_terminate
Common,Other,__printf_fp_l_buffer
Common,Other,__mpn_addmul_1
Common,Other,resolv_lookup
Common,Other,fatal_error
Common,Other,memset
Common,Other,fillin_rpath
Common,Other,__get_errname
Common,Other,_int_free_maybe_consolidate
Common,Other,__mpn_cmp
Common,Other,__sigprocmask
Common,Other,_fitoa
Common,Other,__qsort_r
Common,Other,__fcntl64_nocancel_adjusted
Common,Other,__printf_buffer_flush_asprintf
Common,Other,__wmemcpy
Common,Other,__getcwd
Common,Other,__set_vma_name
Common,Other,__ctype_toupper_loc
Common,Other,adjust_wide_data
Common,Other,add_to_global_resize_failure
Common,Other,__strcasecmp_l
Common,Other,openaux
Common,Other,mem_exists
Common,Other,__gettextparse
Common,Other,__memchr
Common,Other,_mid_memalign
Common,Other,_nl_postload_ctype
Common,Other,__sched_getparam
Common,Other,__printf_buffer_flush_fp_to_wide
Common,Other,_nl_remove_locale
Common,Other,is_dst
Common,Other,resolv_entries_free
Common,Other,__nptl_stack_list_del
Common,Other,add_entry
Common,Other,__mremap
Common,Other,alias_compare
Common,Other,raise
Common,Other,__clock_gettime
Common,Other,__openat_nocancel
Common,Other,__getdtablesize
Common,Other,_int_free_create_chunk
Common,Other,dfs_traversal
Common,Other,__mpn_mul
Common,Other,__sysinfo
Common,Other,__wcsnlen
Common,Other,__hash_string
Common,Other,_nl_finddomain_subfreeres
Common,Other,__fprintf
Common,Other,getenv
Common,Other,__ioctl
Common,Other,__wprintf_buffer_flush
Common,Other,__getsockname
Common,Other,__snprintf
Common,Other,unlink_chunk
Common,Other,__bind
Common,Other,__fstat64
Common,Other,_nl_expand_alias
Common,Other,htons
Common,Other,__fortify_fail
Common,Other,__isatty
Common,Other,checksum_generic
Common,Other,__strtol
Common,Other,_fini
Common,Other,__wprintf_buffer_to_file_done
Common,Other,__select
Common,Other,__wcsmbs_named_conv
Common,Other,__mpn_extract_double
Common,Other,strspn
Common,Other,strcspn
Common,Other,__printf_buffer_pad_1
Common,Other,rand_str
Common,Other,__strtoul_l
Common,Other,__vasprintf_internal
Common,Other,resolv_skip_name
Common,Other,__isoc23_strtoul_l
Common,Other,__get_nprocs
Common,Other,add_to_global_update
Common,Other,__mpn_impn_sqr_n_basecase
Common,Other,table_retrieve_val
Common,Other,__select64
Common,Other,__get_nprocs_conf
Common,Other,__wprintf_buffer_to_file_init
Common,Other,__sleep
Common,Other,register_tm_clones
Common,Other,derivation_compare
Common,Other,__grouping_iterator_init
Common,Other,get_dns_resolver
Common,Other,table_init
Common,Other,memmove
Common,Other,__getdents64
Common,Other,__setsockopt
Common,Other,__errno_location
Common,Other,has_exe_access
Common,Other,__lll_lock_wait
Common,Other,__sysconf
Common,Other,__sigaction
Common,Other,__add_to_environ
Common,Other,__getppid
Common,Other,free_opts
Common,Other,ensure_single_instance
Common,Other,__open64_nocancel
Common,Other,__readdir_unlocked
Common,Other,__open_nocancel
Common,Other,__nptl_change_stack_perm
Common,Other,__nptl_deallocate_stack
Common,Other,expand_dynamic_string_token
Common,Other,__wcrtomb_internal
Common,Other,__ctype_init
Common,Other,anti_gdb_entry
Common,Other,__printf_buffer
Common,Other,__tunables_init
Common,Other,insert_module
Common,Other,__twalk_r
Common,Other,__getsockopt
Common,Other,_Unwind_SetGR
Common,Other,_itoa_word
Common,Other,_nl_locale_subfreeres
Common,Other,__close
Common,Other,__pread64_nocancel
Common,Other,__strndup
Common,Other,__madvise
Common,Other,_nl_explode_name
Common,Other,open_verify
Common,Other,__underflow
Common,Other,save_for_wbackup
Common,Other,killer_kill_by_port
Common,Other,__strtol_internal
Common,Other,__setenv
Common,Other,_exit
Common,Other,__lll_lock_wake_private
Common,Other,__unlink
Common,Other,__vsnprintf_internal
Common,Other,new_composite_name
Common,Other,find_module
Common,Other,read_encoded_value_with_base
Common,Other,__printf_function_invoke
Common,Other,__nptl_free_stacks
Common,Other,tunable_initialize
Common,Other,read_conf_file
Common,Other,__strtoul
Common,Other,__overflow
Common,Other,__lseek64
Common,Other,__get_avphys_pages
Common,Other,__sbrk
Common,Other,call_init
Common,Other,__mpn_mul_n
Common,Other,exit
Common,Other,__printf_fphex_l_buffer
Common,Other,enlarge_userbuf
Common,Other,__mpn_impn_sqr_n
Common,Other,__unregister_atfork
Common,Other,_nl_cleanup_time
Common,Other,__futex_abstimed_wait64
Common,Other,__close_nocancel
Common,Other,__woverflow
Common,Other,rangecmp
Common,Other,__init_misc
Common,Utility,util_memcpy
Common,Utility,util_strlen
Common,Utility,util_fdgets
Common,Utility,util_local_addr
Common,Utility,util_memsearch
Common,Utility,util_isupper
Common,Utility,util_stristr
Common,Utility,util_isalpha
Common,Utility,util_itoa
Common,Utility,util_zero
Common,Utility,util_strcpy
Common,Utility,util_strcmp
Common,Utility,util_isdigit
Common,Utility,util_atoi
Common,Utility,util_strncmp
Common,Utility,util_isspace
Common,Conversion,__gconv_release_step
Common,Conversion,__gconv_release_cache
Common,Conversion,__gconv_cache_freemem
Common,Conversion,__gconv_transform_ucs2_internal
Common,Conversion,__gconv_lookup_cache
Common,Conversion,gconv_parse_code
Common,Conversion,__gconv_transform_internal_ucs2
Common,Conversion,__gconv_btwoc_ascii
Common,Conversion,__gconv_create_spec
Common,Conversion,__gconv_close
Common,Conversion,__gconv_transform_internal_ucs4
Common,Conversion,__gconv_load_cache
Common,Conversion,__gconv_compare_alias_cache
Common,Conversion,__gconv_find_transform
Common,Conversion,__gconv_transform_ascii_internal
Common,Conversion,__gconv_transform_internal_ascii
Common,Conversion,__gconv_transform_internal_utf8
Common,Conversion,__gconv_compare_alias
Common,Conversion,__gconv_transform_ucs4_internal
Common,Conversion,__gconv_destroy_spec
Common,Conversion,__gconv_close_transform
Common,Conversion,__gconv_transform_utf8_internal
Common,Conversion,__gconv_get_modules_db
Common,Conversion,__gconv
Common,Conversion,__gconv_transform_ucs2reverse_internal
Common,Conversion,__gconv_transform_internal_ucs4le
Common,Conversion,__gconv_dl_freemem
Common,Conversion,__gconv_conf_freemem
Common,Conversion,__gconv_db_freemem
Common,Conversion,__gconv_transliterate
Common,Conversion,__gconv_load_conf
Common,Conversion,__gconv_open
Common,Conversion,__gconv_get_cache
Common,Conversion,__gconv_find_shlib
Common,Conversion,__gconv_get_path
Common,Conversion,__gconv_read_conf
Common,Conversion,__gconv_release_shlib
Common,Conversion,__gconv_transform_internal_ucs2reverse
Common,Conversion,__gconv_get_builtin_trans
Common,Conversion,__gconv_transform_ucs4le_internal
Common,Conversion,__gconv_get_alias_db
Common,Conversion,__gconv_alias_compare
Common,Threading,__pthread_get_minstack
Common,Threading,__pthread_kill_internal
Common,Threading,__pthread_cleanup_pop
Common,Threading,___pthread_mutex_lock
Common,Threading,__pthread_cleanup_push
Common,Threading,___pthread_rwlock_wrlock
Common,Threading,__pthread_kill_implementation
Common,Threading,__pthread_tunables_init
Common,Threading,__pthread_kill
Common,Threading,___pthread_rwlock_unlock
Common,Threading,___pthread_once
Common,Threading,__pthread_cleanup_combined_routine_voidptr
Common,Threading,__pthread_once_slow
Common,Threading,___pthread_rwlock_init
Common,Threading,__pthread_self
Common,Threading,__pthread_tpp_change_priority
Common,Threading,__pthread_disable_asynccancel
Common,Threading,___pthread_rwlock_rdlock
Common,Threading,__pthread_enable_asynccancel
Common,Threading,__pthread_current_priority
Common,Threading,__pthread_sigmask
Common,Threading,___pthread_mutex_unlock
Common,Threading,__pthread_mutex_unlock_usercnt
Common,Threading,__pthread_mutex_lock_full
Common,Threading,__pthread_mutex_unlock_full
Common,IO,_IO_fputs
Common,IO,_IO_wdefault_xsputn
Common,IO,_IO_file_read
Common,IO,_IO_sgetn
Common,IO,__libio_codecvt_out
Common,IO,_IO_default_finish
Common,IO,_IO_init_internal
Common,IO,_IO_no_init
Common,IO,_IO_enable_locks
Common,IO,_IO_iter_file
Common,IO,_IO_default_setbuf
Common,IO,_IO_seekwmark
Common,IO,_IO_default_uflow
Common,IO,_IO_init_marker
Common,IO,_IO_fwrite
Common,IO,_IO_default_seek
Common,IO,_IO_default_xsputn
Common,IO,_IO_new_file_underflow
Common,IO,_IO_new_file_fopen
Common,IO,_IO_new_file_attach
Common,IO,_IO_free_wbackup_area
Common,IO,_IO_sputbackwc
Common,IO,_IO_new_file_finish
Common,IO,_IO_seekmark
Common,IO,_IO_file_xsgetn_mmap
Common,IO,_IO_old_init
Common,IO,_IO_wdefault_uflow
Common,IO,_IO_list_resetlock
Common,IO,_IO_file_xsgetn_maybe_mmap
Common,IO,_IO_str_pbackfail
Common,IO,_IO_file_seekoff_mmap
Common,IO,_IO_default_sync
Common,IO,_IO_wfile_underflow
Common,IO,__libio_freemem
Common,IO,_IO_doallocbuf
Common,IO,_IO_wfile_seekoff
Common,IO,_IO_new_fclose
Common,IO,_IO_iter_end
Common,IO,_IO_sungetc
Common,IO,_IO_least_wmarker
Common,IO,_IO_file_seekoff_maybe_mmap
Common,IO,_IO_switch_to_wget_mode
Common,IO,_IO_wdoallocbuf
Common,IO,_IO_file_stat
Common,IO,_IO_new_file_seekoff
Common,IO,_IO_default_stat
Common,IO,_IO_switch_to_backup_area
Common,IO,_IO_iter_begin
Common,IO,_IO_default_read
Common,IO,_IO_adjust_column
Common,IO,_IO_new_do_write
Common,IO,_IO_wdefault_doallocate
Common,IO,_IO_unsave_markers
Common,IO,_IO_marker_difference
Common,IO,_IO_wfile_sync
Common,IO,_IO_file_close
Common,IO,_IO_wfile_xsputn
Common,IO,_IO_file_underflow_mmap
Common,IO,_IO_wdefault_finish
Common,IO,_IO_new_file_xsputn
Common,IO,_IO_cleanup
Common,IO,_IO_switch_to_main_get_area
Common,IO,_IO_sputbackc
Common,IO,_IO_free_backup_area
Common,IO,_IO_switch_to_main_wget_area
Common,IO,_IO_switch_to_wbackup_area
Common,IO,_IO_new_fopen
Common,IO,_IO_stdfiles_init
Common,IO,_IO_new_file_sync
Common,IO,_IO_wsetb
Common,IO,_IO_list_lock
Common,IO,_IO_init_wmarker
Common,IO,__libio_codecvt_in
Common,IO,_IO_file_open
Common,IO,_IO_unsave_wmarkers
Common,IO,_IO_file_setbuf_mmap
Common,IO,_IO_file_xsgetn
Common,IO,__libio_codecvt_encoding
Common,IO,_IO_getline_info
Common,IO,_IO_flush_all
Common,IO,_IO_default_doallocate
Common,IO,_IO_least_marker
Common,IO,_IO_str_init_static_internal
Common,IO,_IO_sungetwc
Common,IO,_IO_str_init_readonly
Common,IO,_IO_str_finish
Common,IO,_IO_wfile_underflow_mmap
Common,IO,_IO_default_xsgetn
Common,IO,_IO_default_imbue
Common,IO,_IO_default_showmanyc
Common,IO,_IO_getline
Common,IO,_IO_str_seekoff
Common,IO,_IO_default_write
Common,IO,_IO_new_file_write
Common,IO,_IO_vtable_check
Common,IO,_IO_fwide
Common,IO,_IO_str_count
Common,IO,_IO_str_init_static
Common,IO,_IO_wmarker_delta
Common,IO,__libio_codecvt_length
Common,IO,_IO_file_underflow_maybe_mmap
Common,IO,_IO_wfile_underflow_maybe_mmap
Common,IO,_IO_remove_marker
Common,IO,_IO_wdefault_pbackfail
Common,IO,_IO_marker_delta
Common,IO,_IO_flush_all_linebuffered
Common,IO,_IO_switch_to_get_mode
Common,IO,_IO_new_file_setbuf
Common,IO,_IO_str_underflow
Common,IO,_IO_wfile_overflow
Common,IO,_IO_default_underflow
Common,IO,_IO_default_pbackfail
Common,IO,_IO_list_unlock
Common,IO,_IO_file_close_mmap
Common,IO,_IO_file_seek
Common,IO,_IO_default_seekpos
Common,IO,_IO_default_seekoff
Common,IO,_IO_setb
Common,IO,_IO_new_file_close_it
Common,IO,_IO_link_in
Common,IO,_IO_new_file_init_internal
Common,IO,_IO_file_sync_mmap
Common,IO,_IO_un_link
Common,IO,_IO_str_overflow
Common,IO,_IO_new_file_overflow
Common,IO,_IO_wdefault_xsgetn
Common,IO,_IO_new_file_init
Common,IO,_IO_iter_next
Common,IO,_IO_file_doallocate
Common,IO,_IO_init
Common,IO,_IO_adjust_wcolumn
Common,IO,_IO_wdo_write
Common,Dynamic Linker,__libc_dlsym_private
Common,Dynamic Linker,__libc_dlsym
Common,Dynamic Linker,_dl_tunable_set_trim_threshold
Common,Dynamic Linker,_dl_tunable_set_arena_max
Common,Dynamic Linker,__libc_dlvsym
Common,Dynamic Linker,__dladdr1
Common,Dynamic Linker,__dlmopen
Common,Dynamic Linker,call_dl_lookup
Common,Dynamic Linker,__dladdr
Common,Dynamic Linker,_dl_dst_substitute
Common,Dynamic Linker,_dlfo_sort_mappings
Common,Dynamic Linker,_dl_tunable_set_tcache_max
Common,Dynamic Linker,_dl_scope_free
Common,Dynamic Linker,_dl_aux_init
Common,Dynamic Linker,_dl_early_allocate
Common,Dynamic Linker,_dl_debug_printf_c
Common,Dynamic Linker,_dl_tls_static_surplus_init
Common,Dynamic Linker,_dl_printf
Common,Dynamic Linker,_dl_sym
Common,Dynamic Linker,dlvsym_doit
Common,Dynamic Linker,_dl_assign_tls_modid
Common,Dynamic Linker,dl_open_worker
Common,Dynamic Linker,dlsym_doit
Common,Dynamic Linker,_dl_protect_relro
Common,Dynamic Linker,_dl_count_modids
Common,Dynamic Linker,dlmopen_doit
Common,Dynamic Linker,_dl_tunable_set_mutex_spin_count
Common,Dynamic Linker,dl_open_worker_begin
Common,Dynamic Linker,_dl_strtoul
Common,Dynamic Linker,__dlinfo
Common,Dynamic Linker,_dl_debug_initialize
Common,Dynamic Linker,do_dlvsym
Common,Dynamic Linker,do_dlopen
Common,Dynamic Linker,_dl_add_to_namespace_list
Common,Dynamic Linker,_dl_tls_initial_modid_limit_setup
Common,Dynamic Linker,_dl_deallocate_tls
Common,Dynamic Linker,_dl_signal_exception
Common,Dynamic Linker,_dl_error_printf
Common,Dynamic Linker,_dl_make_stacks_executable
Common,Dynamic Linker,_dl_signal_error
Common,Dynamic Linker,_dlfo_process_initial
Common,Dynamic Linker,_dl_show_scope
Common,Dynamic Linker,__libc_dlopen_mode
Common,Dynamic Linker,__libc_dlerror_result_free
Common,Dynamic Linker,__dlvsym
Common,Dynamic Linker,___dlopen
Common,Dynamic Linker,__run_exit_handlers
Common,Dynamic Linker,_dl_catch_exception
Common,Dynamic Linker,_dl_higher_prime_number
Common,Dynamic Linker,_dl_tunable_set_tcache_count
Common,Dynamic Linker,_dl_sort_maps
Common,Dynamic Linker,do_dlclose
Common,Dynamic Linker,_dl_init_static_tls
Common,Dynamic Linker,_dl_close_worker
Common,Dynamic Linker,_dl_sysdep_read_whole_file
Common,Dynamic Linker,__handle_registered_modifier_mb
Common,Dynamic Linker,_dl_exception_create
Common,Dynamic Linker,_dl_new_object
Common,Dynamic Linker,_dl_find_object_freeres
Common,Dynamic Linker,_dl_addr
Common,Dynamic Linker,_dl_tunable_set_stack_cache_size
Common,Dynamic Linker,__dlsym
Common,Dynamic Linker,_dl_find_object_dlclose
Common,Dynamic Linker,_dl_non_dynamic_init
Common,Dynamic Linker,_dl_audit_pltexit
Common,Dynamic Linker,__run_prefork_handlers
Common,Dynamic Linker,__handle_registered_modifier_wc
Common,Dynamic Linker,_dl_find_object_init
Common,Dynamic Linker,_dl_get_tls_static_info
Common,Dynamic Linker,_dl_relocate_object
Common,Dynamic Linker,_dl_open
Common,Dynamic Linker,_dl_allocate_tls_storage
Common,Dynamic Linker,_dl_lookup_symbol_x
Common,Dynamic Linker,_dl_start
Common,Dynamic Linker,_dl_debug_vdprintf
Common,Dynamic Linker,_dl_tunable_set_top_pad
Common,Dynamic Linker,_dl_rtld_di_serinfo
Common,Dynamic Linker,_dl_sort_maps_init
Common,Dynamic Linker,_dl_try_allocate_static_tls
Common,Dynamic Linker,_dl_allocate_tls_init
Common,Dynamic Linker,_dl_close
Common,Dynamic Linker,___dlmopen
Common,Dynamic Linker,_dl_call_libc_early_init
Common,Dynamic Linker,_dl_addr_inside_object
Common,Dynamic Linker,_dl_vsym
Common,Dynamic Linker,_dl_add_to_slotinfo
Common,Dynamic Linker,_dl_catch_error
Common,Dynamic Linker,_dl_exception_free
Common,Dynamic Linker,_dl_cache_libcmp
Common,Dynamic Linker,_dl_get_dl_main_map
Common,Dynamic Linker,_dl_fixup
Common,Dynamic Linker,call_dl_init
Common,Dynamic Linker,_dl_reloc_bad_type
Common,Dynamic Linker,_dl_load_cache_lookup
Common,Dynamic Linker,_dl_debug_state
Common,Dynamic Linker,_dlerror_run
Common,Dynamic Linker,_dl_tunable_set_mmap_threshold
Common,Dynamic Linker,_dl_find_object_from_map
Common,Dynamic Linker,_dl_tunable_set_arena_test
Common,Dynamic Linker,_dl_tunable_set_perturb_byte
Common,Dynamic Linker,_dl_setup_hash
Common,Dynamic Linker,_dl_process_pt_gnu_property
Common,Dynamic Linker,_dl_exception_create_format
Common,Dynamic Linker,_dl_allocate_static_tls
Common,Dynamic Linker,_dl_find_object_update
Common,Dynamic Linker,__dl_libc_freemem
Common,Dynamic Linker,__dlerror
Common,Dynamic Linker,_dl_tls_get_addr_soft
Common,Dynamic Linker,_dl_tunable_set_mmaps_max
Common,Dynamic Linker,___dlsym
Common,Dynamic Linker,_dl_dprintf
Common,Dynamic Linker,dlopen_doit
Common,Dynamic Linker,___dlvsym
Common,Dynamic Linker,_dl_check_all_versions
Common,Dynamic Linker,_dl_tunable_set_mxfast
Common,Dynamic Linker,_dl_debug_update
Common,Dynamic Linker,_dl_debug_printf
Common,Dynamic Linker,_dl_get_origin
Common,Dynamic Linker,_dl_lookup_direct
Common,Dynamic Linker,_dl_allocate_tls
Common,Dynamic Linker,_dl_map_object_deps
Common,Dynamic Linker,_dl_check_map_versions
Common,Dynamic Linker,__dlopen
Common,Dynamic Linker,_dl_find_dso_for_object
Common,Dynamic Linker,_dl_runtime_resolve
Common,Dynamic Linker,_dl_fatal_printf
Common,Dynamic Linker,_dl_init
Common,Dynamic Linker,_dl_init_paths
Common,Dynamic Linker,_dl_call_fini
Common,Dynamic Linker,_dl_tunable_set_stack_hugetlb
Common,Dynamic Linker,_dl_error_free
Common,Dynamic Linker,__dl_find_object
Common,Dynamic Linker,do_dlsym_private
Common,Dynamic Linker,__dlclose
Common,Dynamic Linker,two_way_long_needle
Common,Dynamic Linker,_dl_tunable_set_hugetlb
Common,Dynamic Linker,__run_postfork_handlers
Common,Dynamic Linker,dlerror_run
Common,Dynamic Linker,dlinfo_doit
Common,Dynamic Linker,_dl_unload_cache
Common,Dynamic Linker,__libc_dlclose
Common,Dynamic Linker,_dl_tunable_set_tcache_unsorted_limit
Common,Dynamic Linker,do_dlsym
Common,Dynamic Linker,_dl_dst_count
Common,Dynamic Linker,_dl_name_match_p
Common,Dynamic Linker,_dl_map_object_from_fd
Common,Dynamic Linker,__readlink
Common,Dynamic Linker,_dl_map_object
Common,Attack,attack_udp_generic
Common,Attack,add_attack
